date,bank,description,amount,bank_balance,category,type
2025-10-25,HDFC,STARBUCKS INDIA,-233.0,70029.0,Food,Expense
2025-10-25,ICICI,MYNTRA,-1237.0,2706.0,Shopping,Expense
2025-10-25,SBI,DMART READY,-1342.0,14226.0,Food,Expense
2025-10-25,SBI,UPI TO PARENTS,-5000.0,9226.0,Rent,Transfer
2025-10-26,ICICI,AMAZON PRIME,-299.0,2407.0,Subscriptions,Expense
2025-10-26,ICICI,ATM CASH WITHDRAWAL,-3576.0,-1169.0,Shopping,Expense
2025-10-26,ICICI,URBANCLAP,-1133.0,-2302.0,Shopping,Expense
2025-10-27,ICICI,FLIPKART,-2238.0,-4540.0,Shopping,Expense
2025-10-27,ICICI,MEDPLUS,-331.0,-4871.0,Health,Expense
2025-10-27,SBI,RELIANCE FRESH,-1916.0,7310.0,Food,Expense
2025-10-28,HDFC,UBER TRIP,-133.0,69896.0,Transport,Expense
2025-10-28,ICICI,AMAZON PAY,-1911.0,-6782.0,Shopping,Expense
2025-10-28,SBI,RELIANCE FRESH,-595.0,6715.0,Food,Expense
2025-10-29,HDFC,STARBUCKS INDIA,-844.0,69052.0,Food,Expense
2025-10-29,ICICI,FLIPKART,-2635.0,-9417.0,Shopping,Expense
2025-10-30,HDFC,STARBUCKS INDIA,-640.0,68412.0,Food,Expense
2025-10-30,HDFC,UBER TRIP,-523.0,67889.0,Transport,Expense
2025-10-30,ICICI,AMAZON PAY,-941.0,-10358.0,Shopping,Expense
2025-10-30,SBI,RELIANCE FRESH,-368.0,6347.0,Food,Expense
2025-10-31,HDFC,SWIGGY,-530.0,67359.0,Food,Expense
2025-11-01,HDFC,BLINKIT MART,-512.0,66847.0,Food,Expense
2025-11-01,HDFC,SALARY CREDIT ACME TECH,98000.0,164847.0,Income,Income
2025-11-01,HDFC,UBER TRIP,-188.0,164659.0,Transport,Expense
2025-11-01,ICICI,MEDPLUS,-861.0,-11219.0,Health,Expense
2025-11-02,HDFC,IMPS TO SBI HOME,-18000.0,146659.0,Transfer,Transfer
2025-11-02,ICICI,FLIPKART,-2970.0,-14189.0,Shopping,Expense
2025-11-02,SBI,IMPS FROM HDFC HOME,18000.0,24347.0,Food,Transfer
2025-11-03,HDFC,IMPS TO ICICI LIFE,-12000.0,134659.0,Transfer,Transfer
2025-11-03,ICICI,IMPS FROM HDFC LIFE,12000.0,-2189.0,Shopping,Transfer
2025-11-04,ICICI,MYNTRA,-1148.0,-3337.0,Shopping,Expense
2025-11-05,HDFC,HOUSE RENT TRANSFER,-22000.0,112659.0,Rent,Transfer
2025-11-05,HDFC,SWIGGY,-268.0,112391.0,Food,Expense
2025-11-05,ICICI,AJIO,-738.0,-4075.0,Utilities,Expense
2025-11-05,ICICI,APOLLO PHARMACY,-521.0,-4596.0,Health,Expense
2025-11-05,SBI,BIGBASKET,-583.0,23764.0,Food,Expense
2025-11-06,HDFC,BLINKIT MART,-366.0,112025.0,Food,Expense
2025-11-06,SBI,BIGBASKET,-1082.0,22682.0,Food,Expense
2025-11-07,HDFC,BLINKIT MART,-342.0,111683.0,Food,Expense
2025-11-07,ICICI,URBANCLAP,-1262.0,-5858.0,Shopping,Expense
2025-11-08,HDFC,HDFC BANK EMI,-6500.0,105183.0,EMI,Expense
2025-11-08,SBI,ATM CASH WITHDRAWAL,-2785.0,19897.0,Food,Expense
2025-11-09,HDFC,ATM CASH WITHDRAWAL,-3151.0,102032.0,Food,Expense
2025-11-09,HDFC,SWIGGY,-717.0,101315.0,Food,Expense
2025-11-09,SBI,BOOKMYSHOW,-353.0,19544.0,Entertainment,Expense
2025-11-10,HDFC,ZOMATO,-345.0,100970.0,Food,Expense
2025-11-10,ICICI,FLIPKART,-2647.0,-8505.0,Shopping,Expense
2025-11-10,SBI,BESCOM ELECTRICITY,-2150.0,17394.0,Utilities,Expense
2025-11-10,SBI,DMART READY,-1137.0,16257.0,Food,Expense
2025-11-11,HDFC,ZOMATO,-803.0,100167.0,Food,Expense
2025-11-11,ICICI,GROWW SIP EQUITY,-5000.0,-13505.0,Investment,Investment
2025-11-12,HDFC,NETFLIX INDIA,-649.0,99518.0,Subscriptions,Expense
2025-11-12,HDFC,SWIGGY,-455.0,99063.0,Food,Expense
2025-11-12,SBI,RELIANCE FRESH,-349.0,15908.0,Food,Expense
2025-11-13,HDFC,SPOTIFY PREMIUM,-119.0,98944.0,Subscriptions,Expense
2025-11-13,HDFC,STARBUCKS INDIA,-743.0,98201.0,Food,Expense
2025-11-13,HDFC,UBER TRIP,-207.0,97994.0,Transport,Expense
2025-11-13,ICICI,MEDPLUS,-326.0,-13831.0,Health,Expense
2025-11-13,SBI,BIGBASKET,-999.0,14909.0,Food,Expense
2025-11-14,HDFC,FASTAG RECHARGE,-279.0,97715.0,Transport,Expense
2025-11-14,HDFC,STARBUCKS INDIA,-609.0,97106.0,Food,Expense
2025-11-14,SBI,AIRTEL BROADBAND,-1199.0,13710.0,Utilities,Expense
2025-11-14,SBI,DMART READY,-1611.0,12099.0,Food,Expense
2025-11-15,HDFC,ZOMATO,-585.0,96521.0,Food,Expense
2025-11-15,ICICI,FLIPKART,-1852.0,-15683.0,Shopping,Expense
2025-11-15,SBI,DMART READY,-839.0,11260.0,Food,Expense
2025-11-16,HDFC,STARBUCKS INDIA,-1057.0,95464.0,Food,Expense
2025-11-16,SBI,ATM CASH WITHDRAWAL,-888.0,10372.0,Food,Expense
2025-11-16,SBI,RELIANCE FRESH,-468.0,9904.0,Food,Expense
2025-11-17,HDFC,ZOMATO,-514.0,94950.0,Food,Expense
2025-11-17,SBI,PNG GAS BILL,-860.0,9044.0,Utilities,Expense
2025-11-18,HDFC,STARBUCKS INDIA,-458.0,94492.0,Food,Expense
2025-11-18,HDFC,UBER TRIP,-506.0,93986.0,Transport,Expense
2025-11-18,SBI,BIGBASKET,-1049.0,7995.0,Food,Expense
2025-11-19,HDFC,BLINKIT MART,-404.0,93582.0,Food,Expense
2025-11-19,ICICI,DIGITAL GOLD PURCHASE,-1200.0,-16883.0,Shopping,Expense
2025-11-19,ICICI,FLIPKART,-453.0,-17336.0,Shopping,Expense
2025-11-20,HDFC,UBER TRIP,-476.0,93106.0,Transport,Expense
2025-11-21,HDFC,GOOGLE ONE,-130.0,92976.0,Subscriptions,Expense
2025-11-21,HDFC,STARBUCKS INDIA,-397.0,92579.0,Food,Expense
2025-11-21,ICICI,AJIO,-3432.0,-20768.0,Utilities,Expense
2025-11-21,SBI,BIGBASKET,-696.0,7299.0,Food,Expense
2025-11-22,HDFC,SWIGGY,-465.0,92114.0,Food,Expense
2025-11-22,ICICI,ATM CASH WITHDRAWAL,-1690.0,-22458.0,Shopping,Expense
2025-11-22,SBI,RELIANCE FRESH,-2032.0,5267.0,Food,Expense
2025-11-23,SBI,BIGBASKET,-731.0,4536.0,Food,Expense
2025-11-23,SBI,INOX MOVIES,-943.0,3593.0,Entertainment,Expense
2025-11-24,HDFC,FASTAG RECHARGE,-429.0,91685.0,Transport,Expense
2025-11-24,HDFC,STARBUCKS INDIA,-1092.0,90593.0,Food,Expense
2025-11-24,ICICI,AMAZON PAY,-3439.0,-25897.0,Shopping,Expense
2025-11-24,SBI,BIGBASKET,-1427.0,2166.0,Food,Expense
2025-11-25,HDFC,SWIGGY,-1071.0,89522.0,Food,Expense
2025-11-25,ICICI,APOLLO PHARMACY,-370.0,-26267.0,Health,Expense
2025-11-25,SBI,RELIANCE FRESH,-290.0,1876.0,Food,Expense
2025-11-25,SBI,UPI TO PARENTS,-5000.0,-3124.0,Rent,Transfer
2025-11-26,ICICI,AMAZON PRIME,-299.0,-26566.0,Subscriptions,Expense
2025-11-26,SBI,DMART READY,-2069.0,-5193.0,Food,Expense
2025-11-27,ICICI,APOLLO PHARMACY,-1063.0,-27629.0,Health,Expense
2025-11-27,SBI,RELIANCE FRESH,-549.0,-5742.0,Food,Expense
2025-11-28,HDFC,STARBUCKS INDIA,-200.0,89322.0,Food,Expense
2025-11-28,ICICI,FLIPKART,-3563.0,-31192.0,Shopping,Expense
2025-11-29,HDFC,STARBUCKS INDIA,-995.0,88327.0,Food,Expense
2025-11-29,ICICI,ATM CASH WITHDRAWAL,-2636.0,-33828.0,Shopping,Expense
2025-11-29,SBI,RELIANCE FRESH,-423.0,-6165.0,Food,Expense
2025-11-30,HDFC,ATM CASH WITHDRAWAL,-830.0,87497.0,Food,Expense
2025-11-30,ICICI,AMAZON PAY,-836.0,-34664.0,Shopping,Expense
2025-11-30,ICICI,ATM CASH WITHDRAWAL,-1197.0,-35861.0,Shopping,Expense
2025-11-30,SBI,BIGBASKET,-797.0,-6962.0,Food,Expense
2025-12-01,HDFC,FASTAG RECHARGE,-223.0,87274.0,Transport,Expense
2025-12-01,HDFC,SALARY CREDIT ACME TECH,98000.0,185274.0,Income,Income
2025-12-02,HDFC,BLINKIT MART,-984.0,184290.0,Food,Expense
2025-12-02,HDFC,IMPS TO SBI HOME,-18000.0,166290.0,Transfer,Transfer
2025-12-02,HDFC,OLA RIDES,-299.0,165991.0,Transport,Expense
2025-12-02,SBI,IMPS FROM HDFC HOME,18000.0,11038.0,Food,Transfer
2025-12-03,HDFC,IMPS TO ICICI LIFE,-12000.0,153991.0,Transfer,Transfer
2025-12-03,ICICI,AJIO,-1153.0,-37014.0,Utilities,Expense
2025-12-03,ICICI,IMPS FROM HDFC LIFE,12000.0,-25014.0,Shopping,Transfer
2025-12-03,SBI,DMART READY,-734.0,10304.0,Food,Expense
2025-12-04,HDFC,OLA RIDES,-253.0,153738.0,Transport,Expense
2025-12-04,HDFC,ZOMATO,-312.0,153426.0,Food,Expense
2025-12-05,HDFC,HOUSE RENT TRANSFER,-22000.0,131426.0,Rent,Transfer
2025-12-05,HDFC,OLA RIDES,-413.0,131013.0,Transport,Expense
2025-12-05,HDFC,SWIGGY,-803.0,130210.0,Food,Expense
2025-12-05,ICICI,MEDPLUS,-1492.0,-26506.0,Health,Expense
2025-12-07,SBI,DMART READY,-1318.0,8986.0,Food,Expense
2025-12-08,HDFC,HDFC BANK EMI,-6500.0,123710.0,EMI,Expense
2025-12-08,HDFC,ZOMATO,-293.0,123417.0,Food,Expense
2025-12-08,ICICI,AJIO,-2642.0,-29148.0,Utilities,Expense
2025-12-08,SBI,DMART READY,-1489.0,7497.0,Food,Expense
2025-12-09,HDFC,STARBUCKS INDIA,-456.0,122961.0,Food,Expense
2025-12-09,ICICI,FLIPKART,-3125.0,-32273.0,Shopping,Expense
2025-12-09,SBI,RELIANCE FRESH,-1930.0,5567.0,Food,Expense
2025-12-10,SBI,BESCOM ELECTRICITY,-2150.0,3417.0,Utilities,Expense
2025-12-10,SBI,RELIANCE FRESH,-997.0,2420.0,Food,Expense
2025-12-11,HDFC,STARBUCKS INDIA,-1030.0,121931.0,Food,Expense
2025-12-11,HDFC,UBER TRIP,-442.0,121489.0,Transport,Expense
2025-12-11,ICICI,GROWW SIP EQUITY,-5000.0,-37273.0,Investment,Investment
2025-12-11,SBI,RELIANCE FRESH,-1535.0,885.0,Food,Expense
2025-12-12,HDFC,FASTAG RECHARGE,-363.0,121126.0,Transport,Expense
2025-12-12,HDFC,NETFLIX INDIA,-649.0,120477.0,Subscriptions,Expense
2025-12-12,HDFC,STARBUCKS INDIA,-277.0,120200.0,Food,Expense
2025-12-13,HDFC,SPOTIFY PREMIUM,-119.0,120081.0,Subscriptions,Expense
2025-12-14,SBI,AIRTEL BROADBAND,-1199.0,-314.0,Utilities,Expense
2025-12-14,SBI,INOX MOVIES,-1309.0,-1623.0,Entertainment,Expense
2025-12-15,HDFC,BLINKIT MART,-280.0,119801.0,Food,Expense
2025-12-15,SBI,RELIANCE FRESH,-1799.0,-3422.0,Food,Expense
2025-12-16,ICICI,AJIO,-686.0,-37959.0,Utilities,Expense
2025-12-16,ICICI,MEDPLUS,-723.0,-38682.0,Health,Expense
2025-12-17,HDFC,STARBUCKS INDIA,-737.0,119064.0,Food,Expense
2025-12-17,SBI,BIGBASKET,-2052.0,-5474.0,Food,Expense
2025-12-17,SBI,PNG GAS BILL,-860.0,-6334.0,Utilities,Expense
2025-12-18,HDFC,ZOMATO,-559.0,118505.0,Food,Expense
2025-12-18,ICICI,AMAZON PAY,-3064.0,-41746.0,Shopping,Expense
2025-12-19,HDFC,SWIGGY,-779.0,117726.0,Food,Expense
2025-12-19,ICICI,DIGITAL GOLD PURCHASE,-1200.0,-42946.0,Shopping,Expense
2025-12-19,ICICI,MYNTRA,-2212.0,-45158.0,Shopping,Expense
2025-12-20,HDFC,BLINKIT MART,-408.0,117318.0,Food,Expense
2025-12-20,ICICI,ATM CASH WITHDRAWAL,-3393.0,-48551.0,Shopping,Expense
2025-12-20,SBI,RELIANCE FRESH,-1366.0,-7700.0,Food,Expense
2025-12-21,HDFC,FASTAG RECHARGE,-158.0,117160.0,Transport,Expense
2025-12-21,HDFC,GOOGLE ONE,-130.0,117030.0,Subscriptions,Expense
2025-12-21,SBI,ATM CASH WITHDRAWAL,-3640.0,-11340.0,Food,Expense
2025-12-22,HDFC,SWIGGY,-938.0,116092.0,Food,Expense
2025-12-22,ICICI,MEDPLUS,-309.0,-48860.0,Health,Expense
2025-12-23,HDFC,OLA RIDES,-285.0,115807.0,Transport,Expense
2025-12-23,HDFC,STARBUCKS INDIA,-1027.0,114780.0,Food,Expense
2025-12-23,SBI,BIGBASKET,-1544.0,-12884.0,Food,Expense
2025-12-24,HDFC,FASTAG RECHARGE,-152.0,114628.0,Transport,Expense
2025-12-24,HDFC,ZOMATO,-286.0,114342.0,Food,Expense
2025-12-24,ICICI,FLIPKART,-2940.0,-51800.0,Shopping,Expense
2025-12-25,HDFC,STARBUCKS INDIA,-229.0,114113.0,Food,Expense
2025-12-25,SBI,RELIANCE FRESH,-1411.0,-14295.0,Food,Expense
2025-12-25,SBI,UPI TO PARENTS,-5000.0,-19295.0,Rent,Transfer
2025-12-26,ICICI,AMAZON PRIME,-299.0,-52099.0,Subscriptions,Expense
2025-12-26,ICICI,MYNTRA,-3085.0,-55184.0,Shopping,Expense
2025-12-26,SBI,DMART READY,-1954.0,-21249.0,Food,Expense
2025-12-27,HDFC,STARBUCKS INDIA,-644.0,113469.0,Food,Expense
2025-12-27,SBI,BIGBASKET,-1441.0,-22690.0,Food,Expense
2025-12-28,HDFC,ZOMATO,-346.0,113123.0,Food,Expense
2025-12-28,ICICI,MYNTRA,-987.0,-56171.0,Shopping,Expense
2025-12-29,HDFC,OLA RIDES,-336.0,112787.0,Transport,Expense
2025-12-29,HDFC,STARBUCKS INDIA,-562.0,112225.0,Food,Expense
2025-12-30,HDFC,STARBUCKS INDIA,-273.0,111952.0,Food,Expense
2025-12-31,HDFC,FASTAG RECHARGE,-609.0,111343.0,Transport,Expense
2025-12-31,HDFC,ZOMATO,-1030.0,110313.0,Food,Expense
2025-12-31,ICICI,AJIO,-2440.0,-58611.0,Utilities,Expense
2025-12-31,SBI,DMART READY,-1253.0,-23943.0,Food,Expense
2026-01-01,HDFC,SALARY CREDIT ACME TECH,98000.0,208313.0,Income,Income
2026-01-01,ICICI,MEDPLUS,-1506.0,-60117.0,Health,Expense
2026-01-01,SBI,RELIANCE FRESH,-1802.0,-25745.0,Food,Expense
2026-01-02,HDFC,IMPS TO SBI HOME,-18000.0,190313.0,Transfer,Transfer
2026-01-02,SBI,IMPS FROM HDFC HOME,18000.0,-7745.0,Food,Transfer
2026-01-03,HDFC,BLINKIT MART,-896.0,189417.0,Food,Expense
2026-01-03,HDFC,FASTAG RECHARGE,-430.0,188987.0,Transport,Expense
2026-01-03,HDFC,IMPS TO ICICI LIFE,-12000.0,176987.0,Transfer,Transfer
2026-01-03,ICICI,IMPS FROM HDFC LIFE,12000.0,-48117.0,Shopping,Transfer
2026-01-03,SBI,DMART READY,-433.0,-8178.0,Food,Expense
2026-01-04,ICICI,ATM CASH WITHDRAWAL,-3584.0,-51701.0,Shopping,Expense
2026-01-04,SBI,PVR CINEMAS,-1550.0,-9728.0,Entertainment,Expense
2026-01-05,HDFC,HOUSE RENT TRANSFER,-22000.0,154987.0,Rent,Transfer
2026-01-05,HDFC,SWIGGY,-425.0,154562.0,Food,Expense
2026-01-05,HDFC,UBER TRIP,-397.0,154165.0,Transport,Expense
2026-01-05,SBI,DMART READY,-1925.0,-11653.0,Food,Expense
2026-01-06,HDFC,BLINKIT MART,-393.0,153772.0,Food,Expense
2026-01-06,ICICI,AJIO,-2897.0,-54598.0,Utilities,Expense
2026-01-06,ICICI,URBANCLAP,-1707.0,-56305.0,Shopping,Expense
2026-01-07,HDFC,BLINKIT MART,-481.0,153291.0,Food,Expense
2026-01-07,SBI,BIGBASKET,-1166.0,-12819.0,Food,Expense
2026-01-08,HDFC,HDFC BANK EMI,-6500.0,146791.0,EMI,Expense
2026-01-08,ICICI,MYNTRA,-2549.0,-58854.0,Shopping,Expense
2026-01-09,ICICI,URBANCLAP,-1150.0,-60004.0,Shopping,Expense
2026-01-10,HDFC,STARBUCKS INDIA,-482.0,146309.0,Food,Expense
2026-01-10,ICICI,ATM CASH WITHDRAWAL,-2116.0,-62120.0,Shopping,Expense
2026-01-10,SBI,BESCOM ELECTRICITY,-2150.0,-14969.0,Utilities,Expense
2026-01-10,SBI,BIGBASKET,-1258.0,-16227.0,Food,Expense
2026-01-11,ICICI,FLIPKART,-1602.0,-63722.0,Shopping,Expense
2026-01-11,ICICI,GROWW SIP EQUITY,-5000.0,-68722.0,Investment,Investment
2026-01-11,ICICI,MEDPLUS,-1718.0,-70440.0,Health,Expense
2026-01-11,SBI,ATM CASH WITHDRAWAL,-3225.0,-19452.0,Food,Expense
2026-01-12,HDFC,NETFLIX INDIA,-649.0,145660.0,Subscriptions,Expense
2026-01-12,HDFC,SWIGGY,-445.0,145215.0,Food,Expense
2026-01-13,HDFC,BLINKIT MART,-819.0,144396.0,Food,Expense
2026-01-13,HDFC,SPOTIFY PREMIUM,-119.0,144277.0,Subscriptions,Expense
2026-01-13,ICICI,MYNTRA,-2633.0,-73073.0,Shopping,Expense
2026-01-14,HDFC,STARBUCKS INDIA,-745.0,143532.0,Food,Expense
2026-01-14,HDFC,UBER TRIP,-540.0,142992.0,Transport,Expense
2026-01-14,SBI,AIRTEL BROADBAND,-1199.0,-20651.0,Utilities,Expense
2026-01-14,SBI,DMART READY,-256.0,-20907.0,Food,Expense
2026-01-15,HDFC,BLINKIT MART,-1041.0,141951.0,Food,Expense
2026-01-15,HDFC,FASTAG RECHARGE,-676.0,141275.0,Transport,Expense
2026-01-15,ICICI,APOLLO PHARMACY,-1078.0,-74151.0,Health,Expense
2026-01-16,SBI,RELIANCE FRESH,-660.0,-21567.0,Food,Expense
2026-01-17,ICICI,AMAZON PAY,-2814.0,-76965.0,Shopping,Expense
2026-01-17,SBI,DMART READY,-1819.0,-23386.0,Food,Expense
2026-01-17,SBI,PNG GAS BILL,-860.0,-24246.0,Utilities,Expense
2026-01-18,HDFC,BLINKIT MART,-722.0,140553.0,Food,Expense
2026-01-18,HDFC,UBER TRIP,-477.0,140076.0,Transport,Expense
2026-01-18,ICICI,ATM CASH WITHDRAWAL,-1489.0,-78454.0,Shopping,Expense
2026-01-18,ICICI,FLIPKART,-3585.0,-82039.0,Shopping,Expense
2026-01-18,SBI,DMART READY,-928.0,-25174.0,Food,Expense
2026-01-19,HDFC,SWIGGY,-706.0,139370.0,Food,Expense
2026-01-19,ICICI,APOLLO PHARMACY,-1369.0,-83408.0,Health,Expense
2026-01-19,ICICI,DIGITAL GOLD PURCHASE,-1200.0,-84608.0,Shopping,Expense
2026-01-20,HDFC,BLINKIT MART,-882.0,138488.0,Food,Expense
2026-01-21,HDFC,GOOGLE ONE,-130.0,138358.0,Subscriptions,Expense
2026-01-21,HDFC,SWIGGY,-731.0,137627.0,Food,Expense
2026-01-22,HDFC,STARBUCKS INDIA,-287.0,137340.0,Food,Expense
2026-01-22,HDFC,UBER TRIP,-501.0,136839.0,Transport,Expense
2026-01-22,ICICI,MYNTRA,-1026.0,-85634.0,Shopping,Expense
2026-01-22,SBI,BIGBASKET,-909.0,-26083.0,Food,Expense
2026-01-23,HDFC,STARBUCKS INDIA,-892.0,135947.0,Food,Expense
2026-01-23,ICICI,AJIO,-2170.0,-87804.0,Utilities,Expense
2026-01-23,SBI,BIGBASKET,-1749.0,-27832.0,Food,Expense
2026-01-24,HDFC,BLINKIT MART,-1006.0,134941.0,Food,Expense
2026-01-24,ICICI,FLIPKART,-2707.0,-90511.0,Shopping,Expense
2026-01-24,SBI,RELIANCE FRESH,-850.0,-28682.0,Food,Expense
2026-01-25,HDFC,BLINKIT MART,-469.0,134472.0,Food,Expense
2026-01-25,HDFC,FASTAG RECHARGE,-205.0,134267.0,Transport,Expense
2026-01-25,SBI,DMART READY,-636.0,-29318.0,Food,Expense
2026-01-25,SBI,UPI TO PARENTS,-5000.0,-34318.0,Rent,Transfer
2026-01-26,HDFC,BLINKIT MART,-532.0,133735.0,Food,Expense
2026-01-26,ICICI,AJIO,-3541.0,-94052.0,Utilities,Expense
2026-01-26,ICICI,AMAZON PRIME,-299.0,-94351.0,Subscriptions,Expense
2026-01-26,SBI,RELIANCE FRESH,-1182.0,-35500.0,Food,Expense
2026-01-27,HDFC,STARBUCKS INDIA,-1041.0,132694.0,Food,Expense
2026-01-27,SBI,RELIANCE FRESH,-1183.0,-36683.0,Food,Expense
2026-01-28,HDFC,SWIGGY,-526.0,132168.0,Food,Expense
2026-01-29,SBI,BIGBASKET,-499.0,-37182.0,Food,Expense
2026-01-30,HDFC,ZOMATO,-962.0,131206.0,Food,Expense
2026-01-31,HDFC,ATM CASH WITHDRAWAL,-834.0,130372.0,Food,Expense
2026-01-31,HDFC,ZOMATO,-721.0,129651.0,Food,Expense
2026-01-31,ICICI,URBANCLAP,-1371.0,-95722.0,Shopping,Expense
2026-02-01,HDFC,SALARY CREDIT ACME TECH,98000.0,227651.0,Income,Income
2026-02-01,SBI,RELIANCE FRESH,-706.0,-37888.0,Food,Expense
2026-02-02,HDFC,IMPS TO SBI HOME,-18000.0,209651.0,Transfer,Transfer
2026-02-02,HDFC,ZOMATO,-191.0,209460.0,Food,Expense
2026-02-02,ICICI,AMAZON PAY,-1505.0,-97227.0,Shopping,Expense
2026-02-02,SBI,IMPS FROM HDFC HOME,18000.0,-19888.0,Food,Transfer
2026-02-03,HDFC,IMPS TO ICICI LIFE,-12000.0,197460.0,Transfer,Transfer
2026-02-03,HDFC,OLA RIDES,-346.0,197114.0,Transport,Expense
2026-02-03,ICICI,IMPS FROM HDFC LIFE,12000.0,-85227.0,Shopping,Transfer
2026-02-05,HDFC,FASTAG RECHARGE,-506.0,196608.0,Transport,Expense
