Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
21/11/2025,GOOGLE ONE,130.0,0.0,92976.0
21/11/2025,STARBUCKS INDIA,397.0,0.0,92579.0
22/11/2025,SWIGGY,465.0,0.0,92114.0
24/11/2025,FASTAG RECHARGE,429.0,0.0,91685.0
24/11/2025,STARBUCKS INDIA,1092.0,0.0,90593.0
25/11/2025,SWIGGY,1071.0,0.0,89522.0
28/11/2025,STARBUCKS INDIA,200.0,0.0,89322.0
29/11/2025,STARBUCKS INDIA,995.0,0.0,88327.0
30/11/2025,ATM CASH WITHDRAWAL,830.0,0.0,87497.0
01/12/2025,FASTAG RECHARGE,223.0,0.0,87274.0
01/12/2025,SALARY CREDIT ACME TECH,0.0,98000.0,185274.0
02/12/2025,BLINKIT MART,984.0,0.0,184290.0
02/12/2025,IMPS TO SBI HOME,18000.0,0.0,166290.0
02/12/2025,OLA RIDES,299.0,0.0,165991.0
03/12/2025,IMPS TO ICICI LIFE,12000.0,0.0,153991.0
04/12/2025,OLA RIDES,253.0,0.0,153738.0
04/12/2025,ZOMATO,312.0,0.0,153426.0
05/12/2025,HOUSE RENT TRANSFER,22000.0,0.0,131426.0
05/12/2025,OLA RIDES,413.0,0.0,131013.0
05/12/2025,SWIGGY,803.0,0.0,130210.0
08/12/2025,HDFC BANK EMI,6500.0,0.0,123710.0
08/12/2025,ZOMATO,293.0,0.0,123417.0
09/12/2025,STARBUCKS INDIA,456.0,0.0,122961.0
11/12/2025,STARBUCKS INDIA,1030.0,0.0,121931.0
11/12/2025,UBER TRIP,442.0,0.0,121489.0
12/12/2025,FASTAG RECHARGE,363.0,0.0,121126.0
12/12/2025,NETFLIX INDIA,649.0,0.0,120477.0
12/12/2025,STARBUCKS INDIA,277.0,0.0,120200.0
13/12/2025,SPOTIFY PREMIUM,119.0,0.0,120081.0
15/12/2025,BLINKIT MART,280.0,0.0,119801.0
17/12/2025,STARBUCKS INDIA,737.0,0.0,119064.0
18/12/2025,ZOMATO,559.0,0.0,118505.0
19/12/2025,SWIGGY,779.0,0.0,117726.0
20/12/2025,BLINKIT MART,408.0,0.0,117318.0
21/12/2025,FASTAG RECHARGE,158.0,0.0,117160.0
21/12/2025,GOOGLE ONE,130.0,0.0,117030.0
22/12/2025,SWIGGY,938.0,0.0,116092.0
23/12/2025,OLA RIDES,285.0,0.0,115807.0
23/12/2025,STARBUCKS INDIA,1027.0,0.0,114780.0
24/12/2025,FASTAG RECHARGE,152.0,0.0,114628.0
24/12/2025,ZOMATO,286.0,0.0,114342.0
25/12/2025,STARBUCKS INDIA,229.0,0.0,114113.0
27/12/2025,STARBUCKS INDIA,644.0,0.0,113469.0
28/12/2025,ZOMATO,346.0,0.0,113123.0
29/12/2025,OLA RIDES,336.0,0.0,112787.0
29/12/2025,STARBUCKS INDIA,562.0,0.0,112225.0
30/12/2025,STARBUCKS INDIA,273.0,0.0,111952.0
31/12/2025,FASTAG RECHARGE,609.0,0.0,111343.0
31/12/2025,ZOMATO,1030.0,0.0,110313.0
01/01/2026,SALARY CREDIT ACME TECH,0.0,98000.0,208313.0
02/01/2026,IMPS TO SBI HOME,18000.0,0.0,190313.0
03/01/2026,BLINKIT MART,896.0,0.0,189417.0
03/01/2026,FASTAG RECHARGE,430.0,0.0,188987.0
03/01/2026,IMPS TO ICICI LIFE,12000.0,0.0,176987.0
05/01/2026,HOUSE RENT TRANSFER,22000.0,0.0,154987.0
05/01/2026,SWIGGY,425.0,0.0,154562.0
05/01/2026,UBER TRIP,397.0,0.0,154165.0
06/01/2026,BLINKIT MART,393.0,0.0,153772.0
07/01/2026,BLINKIT MART,481.0,0.0,153291.0
08/01/2026,HDFC BANK EMI,6500.0,0.0,146791.0
10/01/2026,STARBUCKS INDIA,482.0,0.0,146309.0
12/01/2026,NETFLIX INDIA,649.0,0.0,145660.0
12/01/2026,SWIGGY,445.0,0.0,145215.0
13/01/2026,BLINKIT MART,819.0,0.0,144396.0
13/01/2026,SPOTIFY PREMIUM,119.0,0.0,144277.0
14/01/2026,STARBUCKS INDIA,745.0,0.0,143532.0
14/01/2026,UBER TRIP,540.0,0.0,142992.0
15/01/2026,BLINKIT MART,1041.0,0.0,141951.0
15/01/2026,FASTAG RECHARGE,676.0,0.0,141275.0
18/01/2026,BLINKIT MART,722.0,0.0,140553.0
18/01/2026,UBER TRIP,477.0,0.0,140076.0
19/01/2026,SWIGGY,706.0,0.0,139370.0
20/01/2026,BLINKIT MART,882.0,0.0,138488.0
21/01/2026,GOOGLE ONE,130.0,0.0,138358.0
21/01/2026,SWIGGY,731.0,0.0,137627.0
22/01/2026,STARBUCKS INDIA,287.0,0.0,137340.0
22/01/2026,UBER TRIP,501.0,0.0,136839.0
23/01/2026,STARBUCKS INDIA,892.0,0.0,135947.0
24/01/2026,BLINKIT MART,1006.0,0.0,134941.0
25/01/2026,BLINKIT MART,469.0,0.0,134472.0
25/01/2026,FASTAG RECHARGE,205.0,0.0,134267.0
26/01/2026,BLINKIT MART,532.0,0.0,133735.0
27/01/2026,STARBUCKS INDIA,1041.0,0.0,132694.0
28/01/2026,SWIGGY,526.0,0.0,132168.0
30/01/2026,ZOMATO,962.0,0.0,131206.0
31/01/2026,ATM CASH WITHDRAWAL,834.0,0.0,130372.0
31/01/2026,ZOMATO,721.0,0.0,129651.0
01/02/2026,SALARY CREDIT ACME TECH,0.0,98000.0,227651.0
02/02/2026,IMPS TO SBI HOME,18000.0,0.0,209651.0
02/02/2026,ZOMATO,191.0,0.0,209460.0
03/02/2026,IMPS TO ICICI LIFE,12000.0,0.0,197460.0
03/02/2026,OLA RIDES,346.0,0.0,197114.0
05/02/2026,FASTAG RECHARGE,506.0,0.0,196608.0
05/02/2026,HOUSE RENT TRANSFER,22000.0,0.0,174608.0
07/02/2026,ATM CASH WITHDRAWAL,1342.0,0.0,173266.0
07/02/2026,FASTAG RECHARGE,262.0,0.0,173004.0
07/02/2026,STARBUCKS INDIA,806.0,0.0,172198.0
08/02/2026,HDFC BANK EMI,6500.0,0.0,165698.0
08/02/2026,OLA RIDES,648.0,0.0,165050.0
09/02/2026,FASTAG RECHARGE,471.0,0.0,164579.0
09/02/2026,SWIGGY,184.0,0.0,164395.0
11/02/2026,FASTAG RECHARGE,584.0,0.0,163811.0
12/02/2026,NETFLIX INDIA,649.0,0.0,163162.0
13/02/2026,SPOTIFY PREMIUM,119.0,0.0,163043.0
14/02/2026,FASTAG RECHARGE,412.0,0.0,162631.0
14/02/2026,ZOMATO,365.0,0.0,162266.0
15/02/2026,FASTAG RECHARGE,546.0,0.0,161720.0
15/02/2026,SWIGGY,963.0,0.0,160757.0
16/02/2026,SWIGGY,833.0,0.0,159924.0
17/02/2026,BLINKIT MART,230.0,0.0,159694.0
18/02/2026,SWIGGY,993.0,0.0,158701.0
19/02/2026,UBER TRIP,688.0,0.0,158013.0
19/02/2026,ZOMATO,264.0,0.0,157749.0
20/02/2026,BLINKIT MART,901.0,0.0,156848.0
21/02/2026,GOOGLE ONE,130.0,0.0,156718.0
21/02/2026,ZOMATO,313.0,0.0,156405.0
22/02/2026,BLINKIT MART,823.0,0.0,155582.0
23/02/2026,ZOMATO,647.0,0.0,154935.0
24/02/2026,FASTAG RECHARGE,281.0,0.0,154654.0
24/02/2026,SWIGGY,289.0,0.0,154365.0
25/02/2026,BLINKIT MART,573.0,0.0,153792.0
26/02/2026,STARBUCKS INDIA,558.0,0.0,153234.0
27/02/2026,STARBUCKS INDIA,721.0,0.0,152513.0
28/02/2026,ZOMATO,564.0,0.0,151949.0
01/03/2026,SALARY CREDIT ACME TECH,0.0,98000.0,249949.0
01/03/2026,ZOMATO,700.0,0.0,249249.0
02/03/2026,IMPS TO SBI HOME,18000.0,0.0,231249.0
03/03/2026,IMPS TO ICICI LIFE,12000.0,0.0,219249.0
04/03/2026,BLINKIT MART,755.0,0.0,218494.0
05/03/2026,HOUSE RENT TRANSFER,22000.0,0.0,196494.0
05/03/2026,STARBUCKS INDIA,857.0,0.0,195637.0
07/03/2026,ZOMATO,915.0,0.0,194722.0
08/03/2026,ATM CASH WITHDRAWAL,771.0,0.0,193951.0
08/03/2026,FASTAG RECHARGE,608.0,0.0,193343.0
08/03/2026,HDFC BANK EMI,6500.0,0.0,186843.0
08/03/2026,SWIGGY,286.0,0.0,186557.0
09/03/2026,ZOMATO,628.0,0.0,185929.0
10/03/2026,OLA RIDES,373.0,0.0,185556.0
12/03/2026,NETFLIX INDIA,649.0,0.0,184907.0
12/03/2026,STARBUCKS INDIA,400.0,0.0,184507.0
12/03/2026,UBER TRIP,414.0,0.0,184093.0
13/03/2026,SPOTIFY PREMIUM,119.0,0.0,183974.0
16/03/2026,ZOMATO,800.0,0.0,183174.0
17/03/2026,SWIGGY,834.0,0.0,182340.0
20/03/2026,SWIGGY,642.0,0.0,181698.0
21/03/2026,GOOGLE ONE,130.0,0.0,181568.0
21/03/2026,ZOMATO,948.0,0.0,180620.0
22/03/2026,ATM CASH WITHDRAWAL,1133.0,0.0,179487.0
22/03/2026,STARBUCKS INDIA,461.0,0.0,179026.0
23/03/2026,SWIGGY,448.0,0.0,178578.0
24/03/2026,BLINKIT MART,633.0,0.0,177945.0
24/03/2026,OLA RIDES,261.0,0.0,177684.0
26/03/2026,ZOMATO,796.0,0.0,176888.0
27/03/2026,BLINKIT MART,517.0,0.0,176371.0
28/03/2026,STARBUCKS INDIA,956.0,0.0,175415.0
30/03/2026,SWIGGY,962.0,0.0,174453.0
31/03/2026,OLA RIDES,351.0,0.0,174102.0
31/03/2026,STARBUCKS INDIA,668.0,0.0,173434.0
01/04/2026,SALARY CREDIT ACME TECH,0.0,98000.0,271434.0
02/04/2026,IMPS TO SBI HOME,18000.0,0.0,253434.0
02/04/2026,OLA RIDES,134.0,0.0,253300.0
02/04/2026,SWIGGY,491.0,0.0,252809.0
03/04/2026,IMPS TO ICICI LIFE,12000.0,0.0,240809.0
04/04/2026,SWIGGY,730.0,0.0,240079.0
04/04/2026,UBER TRIP,281.0,0.0,239798.0
05/04/2026,BLINKIT MART,1083.0,0.0,238715.0
05/04/2026,HOUSE RENT TRANSFER,22000.0,0.0,216715.0
08/04/2026,HDFC BANK EMI,6500.0,0.0,210215.0
09/04/2026,BLINKIT MART,853.0,0.0,209362.0
09/04/2026,BLINKIT MART,799.0,0.0,208563.0
09/04/2026,BLINKIT MART,799.0,0.0,207764.0
10/04/2026,STARBUCKS INDIA,781.0,0.0,206983.0
12/04/2026,ATM CASH WITHDRAWAL,1542.0,0.0,205441.0
12/04/2026,NETFLIX INDIA,649.0,0.0,204792.0
13/04/2026,SPOTIFY PREMIUM,119.0,0.0,204673.0
16/04/2026,OLA RIDES,248.0,0.0,204425.0
18/04/2026,ATM CASH WITHDRAWAL,1804.0,0.0,202621.0
18/04/2026,UBER TRIP,151.0,0.0,202470.0
19/04/2026,STARBUCKS INDIA,801.0,0.0,201669.0
21/04/2026,GOOGLE ONE,130.0,0.0,201539.0
