Transaction Date,Transaction Remarks,Debit Amount,Credit Amount,Available Balance
17/01/2026,AMAZON PAY,2814.0,0.0,-76965.0
18/01/2026,ATM CASH WITHDRAWAL,1489.0,0.0,-78454.0
18/01/2026,FLIPKART,3585.0,0.0,-82039.0
19/01/2026,APOLLO PHARMACY,1369.0,0.0,-83408.0
19/01/2026,DIGITAL GOLD PURCHASE,1200.0,0.0,-84608.0
22/01/2026,MYNTRA,1026.0,0.0,-85634.0
23/01/2026,AJIO,2170.0,0.0,-87804.0
24/01/2026,FLIPKART,2707.0,0.0,-90511.0
26/01/2026,AJIO,3541.0,0.0,-94052.0
26/01/2026,AMAZON PRIME,299.0,0.0,-94351.0
31/01/2026,URBANCLAP,1371.0,0.0,-95722.0
02/02/2026,AMAZON PAY,1505.0,0.0,-97227.0
03/02/2026,IMPS FROM HDFC LIFE,0.0,12000.0,-85227.0
06/02/2026,AMAZON PAY,1640.0,0.0,-86867.0
06/02/2026,APOLLO PHARMACY,480.0,0.0,-87347.0
11/02/2026,AMAZON PAY,2031.0,0.0,-89378.0
11/02/2026,GROWW SIP EQUITY,5000.0,0.0,-94378.0
14/02/2026,AMAZON PAY,2515.0,0.0,-96893.0
16/02/2026,FLIPKART,2845.0,0.0,-99738.0
17/02/2026,AJIO,2422.0,0.0,-102160.0
19/02/2026,DIGITAL GOLD PURCHASE,1200.0,0.0,-103360.0
21/02/2026,FLIPKART,2908.0,0.0,-106268.0
22/02/2026,MYNTRA,2452.0,0.0,-108720.0
23/02/2026,URBANCLAP,1491.0,0.0,-110211.0
26/02/2026,AMAZON PRIME,299.0,0.0,-110510.0
27/02/2026,AJIO,1907.0,0.0,-112417.0
03/03/2026,IMPS FROM HDFC LIFE,0.0,12000.0,-100417.0
03/03/2026,MEDPLUS,849.0,0.0,-101266.0
06/03/2026,AMAZON PAY,784.0,0.0,-102050.0
06/03/2026,URBANCLAP,688.0,0.0,-102738.0
07/03/2026,AMAZON PAY,1549.0,0.0,-104287.0
08/03/2026,MEDPLUS,1414.0,0.0,-105701.0
09/03/2026,FLIPKART,1753.0,0.0,-107454.0
10/03/2026,FLIPKART,2818.0,0.0,-110272.0
11/03/2026,GROWW SIP EQUITY,5000.0,0.0,-115272.0
11/03/2026,MYNTRA,1866.0,0.0,-117138.0
14/03/2026,FLIPKART,1587.0,0.0,-118725.0
14/03/2026,MEDPLUS,608.0,0.0,-119333.0
15/03/2026,FLIPKART,3498.0,0.0,-122831.0
16/03/2026,AJIO,498.0,0.0,-123329.0
19/03/2026,DIGITAL GOLD PURCHASE,1200.0,0.0,-124529.0
22/03/2026,ATM CASH WITHDRAWAL,2035.0,0.0,-126564.0
23/03/2026,MYNTRA,2048.0,0.0,-128612.0
26/03/2026,AMAZON PRIME,299.0,0.0,-128911.0
26/03/2026,MYNTRA,1204.0,0.0,-130115.0
01/04/2026,AMAZON PAY,1103.0,0.0,-131218.0
01/04/2026,MEDPLUS,1721.0,0.0,-132939.0
02/04/2026,AMAZON PAY,14250.0,0.0,-147189.0
03/04/2026,IMPS FROM HDFC LIFE,0.0,12000.0,-135189.0
04/04/2026,AMAZON PAY,3170.0,0.0,-138359.0
05/04/2026,FLIPKART,2720.0,0.0,-141079.0
06/04/2026,FLIPKART,3681.0,0.0,-144760.0
08/04/2026,AJIO,3048.0,0.0,-147808.0
10/04/2026,MYNTRA,464.0,0.0,-148272.0
11/04/2026,APOLLO PHARMACY,572.0,0.0,-148844.0
11/04/2026,GROWW SIP EQUITY,5000.0,0.0,-153844.0
12/04/2026,APOLLO PHARMACY,862.0,0.0,-154706.0
14/04/2026,MYNTRA,1823.0,0.0,-156529.0
19/04/2026,DIGITAL GOLD PURCHASE,1200.0,0.0,-157729.0
19/04/2026,MEDPLUS,975.0,0.0,-158704.0
20/04/2026,FLIPKART,2003.0,0.0,-160707.0
26/04/2026,AMAZON PRIME,299.0,0.0,-161006.0
